RUN,MoveNo,SpriteName,MovedToPile,ReactionTime
Control Run,1,cards_2,1,0
Control Run,2,cards_49,4,0.7620666
Control Run,3,cards_41,3,1.482369
Control Run,4,cards_28,2,0.3807397
Control Run,5,cards_6,1,0.3976035
Control Run,6,cards_15,4,0.2815599
Control Run,7,cards_43,3,0.3809471
Control Run,8,cards_24,2,0.3147655
Control Run,9,cards_14,1,0.6638546
Control Run,10,cards_2,4,0.4464569
Control Run,11,cards_10,3,0.3983769
Control Run,12,cards_33,2,0.3807039
Control Run,13,cards_37,1,0.3809595
Control Run,14,cards_22,4,0.364068
Control Run,15,cards_1,3,0.347909
Control Run,16,cards_27,2,0.3645153
Control Run,17,cards_48,1,0.4310923
Control Run,18,cards_5,4,0.4303169
Control Run,19,cards_46,3,0.4474096
Control Run,20,cards_45,2,0.4306231
Control Run,21,cards_13,1,0.4804354
Control Run,22,cards_32,4,0.381032
Control Run,23,cards_31,3,0.397644
Control Run,24,cards_19,2,0.397912
Control Run,25,cards_30,1,0.3986855
Control Run,26,cards_36,4,0.3963985
Control Run,27,cards_44,3,0.4147491
Control Run,28,cards_18,2,0.34725
Control Run,29,cards_26,1,0.4306726
Control Run,30,cards_50,4,0.4640293
Control Run,31,cards_8,3,0.4470253
Control Run,32,cards_29,2,0.3823481
Control Run,33,cards_21,1,0.3964462
Control Run,34,cards_34,4,0.4305725
Control Run,35,cards_38,3,0.4315834
Control Run,36,cards_16,2,0.4638023
Control Run,37,cards_7,1,0.4796467
Control Run,38,cards_42,4,0.4143353
Control Run,39,cards_0,3,0.4139996
Control Run,40,cards_9,2,0.4309216
Control Run,41,cards_17,1,0.4145584
Control Run,42,cards_4,4,0.4307861
Control Run,43,cards_40,3,0.4305229
Control Run,44,cards_11,2,0.4807568
Control Run,45,cards_3,1,0.429987
Control Run,46,cards_23,4,0.3976002
Control Run,47,cards_39,3,0.4479465
Control Run,48,cards_12,2,0.4466743
Control Run,49,cards_47,1,0.4170322
Control Run,50,cards_25,4,0.3656006
Control Run,51,cards_35,3,0.3896484
Final Run,1,cards_8,1,0
Final Run,2,cards_11,1,0.6947842
Final Run,3,cards_19,2,0.6795387
Final Run,4,cards_16,2,0.8445969
